card_id,name,last_name,phone,semester,city_program_id,user_id
7285816724,Borja,Campos,3109988776,9,3,1
3359955277,Silvio,Garay,3011234567,9,27,2
8541853288,Dionisio,Aparicio,3143344556,9,2,3
907029401,Aroa,Menéndez,3124455667,9,9,4
4377548207,Valerio,Sabater,3199988776,9,21,5
7755614490,Yago,Pavón,3132233445,9,6,6
13635774,Adoración,Cerro,3045566778,9,8,7
1955103976,Tania,Sabater,3003344556,9,7,8
6516296204,Martina,Zamora,3054455667,9,4,9
8539020173,Leonor,Rueda,3181122334,9,5,10
8785957953,Ruth,Quintero,3205566778,9,1,11
5466947700,Aura,Vicens,3114455667,9,22,12
3507798530,Mamen,Garay,3173344556,9,11,13
2357275626,Buenaventura,Arenas,3219988776,9,12,14
4857613777,Luis Ángel,Cáceres,3162233445,9,13,15
7770322199,Baltasar,Mate,3102233445,9,14,16
3498445914,Judith,Mayoral,3005566778,9,15,17
9371043255,Íngrid,Leal,3046677889,9,17,18
7661339134,Inmaculada,Lucena,3122233445,9,18,19
927795079,Sabas,Melero,3193344556,9,19,20
1090123456,Andrés,Camargo,3114567890,9,20,21
1090987654,Laura,Mendoza,3009876543,9,23,22
1090654321,Felipe,Ruiz,3151122334,9,24,23
1090765432,Camila,Suárez,3217654321,9,25,24
1090876543,Mateo,Herrera,3209988776,9,26,25
1090432198,Daniela,Gómez,3042233445,9,28,26
1090321654,Julián,Ortega,3184455667,9,2,27
1090543287,Valentina,Niño,3135566778,9,7,28
1090765431,Sebastián,Rojas,3016677889,9,9,29
1090987213,Mariana,Prada,3167788990,9,19,30
3849201756,Laura,Fernandez,3004827159,9,4,66
9601342875,Julian,Castro,3105874036,9,4,69
2485197603,Maria,Torres,3116073581,9,4,70
