card_id,name,last_name,phone,committee_leader,city_program_id,user_id,,,,,Correo
746432279,Federico,Manzano,3114567890,1,1,31,,,,,
916863651,Jose Luis,Capdevila,3009876543,0,2,32,,,,,
62233422,Erasmo,Mena,3151122334,0,4,33,,,,,
66265691,Ani,Soto,3217654321,1,5,34,,,,,
977215273,Alonso,Posada,3209988776,1,6,35,,,,,
887560262,Elba,Ugarte,3042233445,1,7,36,,,,,
362541669,Sonia,Huguet,3184455667,0,8,37,,,,,
325837431,Nacio,Pedraza,3135566778,0,9,38,,,,,
842129420,Paula,Cervera,3016677889,1,11,39,,,,,
701870010,Wálter,Manuel,3167788990,0,12,40,,,,,
232314413,Emelina,Vilanova,3123344556,1,13,41,,,,,
470792166,Remigio,Garcia,3194455667,0,14,42,,,,,
500542580,Patricio,Pazos,3001234567,0,15,43,,,,,
369787487,Visitación,Olmedo,3149988776,1,17,44,,,,,
836334865,Kike,Marquez,3108765432,1,18,45,,,,,
906587768,María Belén,Tejedor,3041122334,1,19,46,,,,,
215468777,Evaristo,Luz,3053344556,1,20,47,,,,,
807024748,Ignacia,Rozas,3211122334,0,21,48,,,,,
541174621,Guadalupe,Sabater,3112233445,1,22,49,,,,,
259970979,Octavio,Llopis,3175566778,0,23,50,,,,,
1077123456,Álvaro,Peña,3123344556,1,24,51,,,,,
1077987654,Sandra,Vargas,3194455667,1,25,52,,,,,
1077654321,Diego,León,3001234567,0,26,53,,,,,
1077765432,Karla,Cárdenas,3149988776,1,27,54,,,,,
1077876543,Jorge,Niño,3108765432,0,28,55,,,,,
1077432198,Mónica,Pérez,3041122334,1,3,56,,,,,
1077321654,Ricardo,Molina,3053344556,1,6,57,,,,,
1077543287,Natalia,Duarte,3211122334,1,4,58,,,,,
1077765431,Wilson,Ramírez,3112233445,0,11,59,,,,,
1077987213,Paola,Fuentes,3175566778,0,5,60,,,,,
